Gene,ADS,DAGS,CDAS,CAIS
proV,0.0436,0.0142,0.0834,0.046
xthA,0.0407,0.0175,0.0687,0.0424
pks5,0.0577,0.0027,0.708,0.0971
kdpA,0.0443,0.004,0.1939,0.0533
mmpL11,0.0947,0.0218,0.1534,0.0982
mtr,0.0862,0.0557,0.1178,0.0881
rodA,0.0584,0.0166,0.1521,0.0641
accD5,0.0647,0.0307,0.0761,0.0654
fadD15,0.0678,0.0139,0.2221,0.0771
mmuM,0.0407,0.0175,0.0687,0.0424
adhE1,0.1612,0.0857,0.1313,0.1593
proX,0.055,0.0147,0.1252,0.0592
corA,0.0299,0.0077,0.0626,0.0319
eccCb1,0.0856,0.0237,0.2012,0.0926
lprO,0.1393,0.0557,0.1178,0.1379
oppB,0.0358,0.0137,0.0626,0.0374
fadE18,0.0299,0.0057,0.1178,0.0352
eccE2,0.1003,0.0249,0.2638,0.1102
fadE20,0.1493,0.0594,0.1043,0.1465
grcC2,0.0784,0.0332,0.1043,0.0799
devR,0.0299,0.0557,0.0074,0.0286
mrsA,0.1384,0.0502,0.0687,0.1341
ribH,0.0697,0.0757,0.0147,0.0664
clpC1,0.0505,0.0096,0.173,0.0579
rocA,0.0597,0.0157,0.1178,0.0632
espB,0.0985,0.0332,0.2699,0.1088
bkdC,0.039,0.0142,0.0834,0.0417
atsD,0.0637,0.0177,0.2012,0.072
mshC,0.0611,0.0128,0.1387,0.0658
cydD,0.0624,0.0284,0.0687,0.0628
vapB19,0.0896,0.0642,0.0417,0.0867
pgi,0.0576,0.0086,0.1865,0.0654
fadD2,0.0627,0.0107,0.1313,0.0668
dgt,0.0537,0.0317,0.0626,0.0542
mrp,0.0336,0.0107,0.1043,0.0379
rpoB,0.0757,0.0152,0.2908,0.0887
lppA,0.0657,0.0317,0.0626,0.0655
bacA,0.0384,0.0128,0.0896,0.0415
fabG2,0.3085,0.1623,0.0552,0.293
fadD9,0.0697,0.0157,0.3472,0.0865
lpqK,0.1335,0.0683,0.1252,0.1329
cya,0.0497,0.01,0.1387,0.0551
glpQ1,0.1469,0.0509,0.1669,0.148
ask,0.0574,0.0234,0.0834,0.059
galK,0.0567,0.0107,0.1313,0.0612
groEL1,0.0945,0.0457,0.0761,0.0933
wag22,0.0992,0.0247,0.2074,0.1057
lipN,0.0738,0.0147,0.1252,0.0769
pca,0.0398,0.0037,0.2012,0.0496
senX3,0.1095,0.0857,0.0761,0.1075
aprB,0.3284,0.2655,0.0209,0.3097
mutA,0.0299,0.0032,0.1043,0.0344
etgB,0.0426,0.0128,0.0896,0.0454
desA3,0.1459,0.0823,0.1178,0.1441
mazE9,0.0448,0.0407,0.0209,0.0433
xseB,0.1493,0.2355,0.0,0.1403
moeY,0.2186,0.0944,0.2074,0.2178
gmhB,0.0361,0.0052,0.1252,0.0415
pstA2,0.1244,0.0807,0.0761,0.1214
pks10,0.1379,0.0814,0.1387,0.1379
lgt,0.063,0.0157,0.1178,0.0663
arsB1,0.0768,0.0257,0.0896,0.0775
pcd,0.0497,0.0117,0.0969,0.0525
ssb,0.1015,0.0677,0.027,0.097
mmpL3,0.0702,0.0186,0.2282,0.0797
ppiA,0.0841,0.0393,0.0687,0.0831
TB27.3,0.0736,0.0277,0.0969,0.075
vapC17,0.0597,0.0557,0.0209,0.0573
secY,0.1625,0.129,0.0552,0.156
metB,0.0407,0.0175,0.0687,0.0424
dapF,0.0597,0.0457,0.0344,0.0582
mmpL1,0.0767,0.0169,0.3472,0.0931
serC,0.0554,0.0385,0.0417,0.0546
glmS,0.0369,0.0098,0.1104,0.0413
narL,0.0497,0.0357,0.0344,0.0488
fadD6,0.0579,0.0169,0.1104,0.0611
ftsK,0.0862,0.0324,0.1178,0.0881
cdsA,0.0299,0.009,0.0552,0.0314
rplX,0.0299,0.0357,0.0135,0.0289
fdxD,0.1791,0.1156,0.0221,0.1695
pepD,0.0448,0.0107,0.1043,0.0484
sigJ,0.0299,0.0049,0.0834,0.0331
esxA,0.0299,0.0128,0.0417,0.0306
eccD2,0.0382,0.0013,0.292,0.0536
menD,0.0941,0.0511,0.0834,0.0934
rpsP,0.1663,0.1499,0.0417,0.1587
kstD,0.0776,0.0317,0.1325,0.0809
fadD3,0.0448,0.0157,0.0761,0.0467
vapC44,0.097,0.0482,0.0479,0.094
TB18.5,0.1119,0.0482,0.0479,0.108
ppsC,0.0678,0.0044,0.3742,0.0863
modC,0.085,0.0418,0.0834,0.0849
proA,0.057,0.023,0.0687,0.0577
mmpL10,0.0641,0.0085,0.319,0.0795
bpoB,0.1004,0.0611,0.0687,0.0984
pstS1,0.1147,0.0494,0.1252,0.1153
glgA,0.135,0.0614,0.1387,0.1352
ctpG,0.0382,0.0013,0.2908,0.0535
aroF,0.0299,0.0066,0.0687,0.0322
eccC5,0.0461,0.0066,0.146,0.0521
fprB,0.0617,0.0197,0.0969,0.0638
esxK,0.1493,0.1456,0.0209,0.1415
cydC,0.0464,0.009,0.1178,0.0507
cyp125,0.063,0.0157,0.1178,0.0663
ahpD,0.0299,0.0257,0.0221,0.0294
vapB4,0.1493,0.1328,0.0417,0.1428
pyrR,0.4179,0.4154,0.0209,0.3938
lpqU,0.0299,0.0157,0.0344,0.0302
truB,0.0697,0.0557,0.0344,0.0675
vapC36,0.0448,0.0257,0.0479,0.045
pgsA2,0.1493,0.1156,0.0552,0.1436
mbtA,0.1119,0.0444,0.1043,0.1114
hbhA,0.0239,0.0077,0.0626,0.0262
ppsB,0.0541,0.0038,0.2491,0.0659
gpgS,0.0597,0.0557,0.0209,0.0573
ligD,0.0597,0.0096,0.173,0.0665
drrC,0.0299,0.0157,0.0344,0.0302
ftsW,0.1355,0.0511,0.0834,0.1323
recN,0.1919,0.1242,0.0896,0.1856
cysE,0.0829,0.0224,0.1178,0.085
galU,0.1254,0.0917,0.027,0.1194
purN,0.1834,0.1499,0.0417,0.1748
ilvC,0.0353,0.0121,0.0687,0.0373
ung,0.1134,0.0797,0.0626,0.1103
fcoT,0.0418,0.0197,0.0626,0.043
fadE36,0.1407,0.0814,0.0896,0.1376
bisC,0.0433,0.0035,0.2074,0.0532
aglA,0.0566,0.0102,0.1939,0.0649
fmu,0.0929,0.0357,0.1178,0.0944
fadE12,0.1387,0.0451,0.1104,0.1369
lprF,0.0516,0.0284,0.0687,0.0526
whiB5,0.0678,0.0284,0.0687,0.0678
adhD,0.0522,0.0182,0.1043,0.0553
fabG3,0.0469,0.03,0.0417,0.0466
mmpS4,0.0299,0.0128,0.0417,0.0306
vapC14,0.1493,0.0857,0.0209,0.1415
infC,0.0725,0.0471,0.0417,0.0706
blaC,0.0712,0.0234,0.0834,0.0719
pimE,0.0975,0.0517,0.0969,0.0974
pstS2,0.055,0.0115,0.1252,0.0592
dfp,0.0412,0.0071,0.1387,0.0471
mycP5,0.0544,0.0169,0.1104,0.0578
hemK,0.0461,0.0175,0.0687,0.0474
cydA,0.065,0.0169,0.1104,0.0677
tatC,0.0733,0.0284,0.0687,0.073
otsB1,0.0929,0.0182,0.492,0.1171
fadD13,0.1433,0.0976,0.2012,0.1468
prcA,0.0469,0.03,0.0417,0.0466
hisI,0.0299,0.0357,0.0147,0.029
narH,0.041,0.0107,0.1043,0.0448
ndkA,0.0697,0.0757,0.0135,0.0663
lppR,0.1493,0.0657,0.0761,0.1448
fba,0.0597,0.0257,0.0761,0.0607
mycP1,0.0677,0.0037,0.2012,0.0757
nadB,0.124,0.0372,0.173,0.1269
murG,0.1294,0.0857,0.0761,0.1261
fadD35,0.0409,0.009,0.1804,0.0493
kdpD,0.1023,0.034,0.319,0.1154
lppT,0.1493,0.2355,0.0,0.1403
